# Logfile created on 2026-04-16 14:38:42 +0200 by logger.rb/v1.5.3
2026-04-16 14:38:42 +0200: Memory Usage (438324K) : Starting running IHP-SG13G2 KLayout DRC runset on /var/home/bleroux/Documents/stage_IEMN/analog-asic-design/designs/inverter/layout/inverter.klay.gds
2026-04-16 14:38:42 +0200: Memory Usage (438324K) : Ruby Version for klayout: 3.2.3
2026-04-16 14:38:42 +0200: Memory Usage (439688K) : Loading database to memory is complete.
2026-04-16 14:38:42 +0200: Memory Usage (439688K) : IHP-SG13G2 KLayout DRC runset output at: /var/home/bleroux/Documents/stage_IEMN/analog-asic-design/drc_run_TOP/inverter.klay_TOP_metalslits.lyrdb
2026-04-16 14:38:42 +0200: Memory Usage (439880K) : Evaluate switches.
2026-04-16 14:38:42 +0200: Memory Usage (439880K) : tables selected: metalslits
2026-04-16 14:38:42 +0200: Memory Usage (439880K) : KLayout will use 1 thread(s) in tiling mode.
2026-04-16 14:38:42 +0200: Memory Usage (439880K) : deep mode is enabled.
2026-04-16 14:38:42 +0200: Memory Usage (440072K) : FEOL enabled: false
2026-04-16 14:38:42 +0200: Memory Usage (440072K) : BEOL enabled: false
2026-04-16 14:38:42 +0200: Memory Usage (440072K) : OFFGRID enabled: true
2026-04-16 14:38:42 +0200: Memory Usage (440072K) : PIN enabled: false
2026-04-16 14:38:42 +0200: Memory Usage (440072K) : FORBIDDEN enabled: false
2026-04-16 14:38:42 +0200: Memory Usage (440072K) : RECOMMENDED enabled: true
2026-04-16 14:38:42 +0200: Memory Usage (440072K) : PreCheck DRC enabled: false
2026-04-16 14:38:42 +0200: Memory Usage (440072K) : CONNECTIVITY_RULES enabled: false.
2026-04-16 14:38:42 +0200: Memory Usage (440072K) : Read in polygons from layers.
2026-04-16 14:38:42 +0200: Memory Usage (440840K) : activ_drw has 8 polygons
2026-04-16 14:38:42 +0200: Memory Usage (440840K) : activ_pin has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (440840K) : activ_mask has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (440840K) : activ_filler has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (440840K) : activ_nofill has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (440840K) : activ_opc has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (440840K) : activ_iopc has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (440840K) : activ_noqrc has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (440840K) : biwind_drw has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (440840K) : biwind_opc has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (440840K) : pemwind_drw has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441072K) : gatpoly_drw has 5 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441072K) : gatpoly_pin has 1 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441072K) : gatpoly_filler has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441072K) : gatpoly_nofill has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441072K) : gatpoly_opc has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441072K) : gatpoly_iopc has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441072K) : gatpoly_noqrc has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441072K) : cont_drw has 13 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441072K) : cont_opc has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441072K) : nsd_drw has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441072K) : nsd_block has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441072K) : metal1_drw has 13 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441072K) : metal1_pin has 7 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441072K) : metal1_mask has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441072K) : metal1_filler has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441072K) : metal1_nofill has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441264K) : metal1_slit has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441648K) : metal1_text has 2 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441648K) : metal1_opc has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441648K) : metal1_noqrc has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441648K) : metal1_res has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441648K) : metal1_iprobe has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441648K) : metal1_diffprb has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441648K) : passiv_drw has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441840K) : passiv_pin has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441840K) : passiv_sbump has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (441840K) : passiv_pillar has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (442032K) : passiv_pdl has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (442032K) : metal2_drw has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (442032K) : metal2_pin has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (442032K) : metal2_mask has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (442224K) : metal2_filler has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (442224K) : metal2_nofill has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (442224K) : metal2_slit has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (442416K) : metal2_text has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (442416K) : metal2_opc has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (442416K) : metal2_noqrc has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (442608K) : metal2_res has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (442608K) : metal2_iprobe has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (442608K) : metal2_diffprb has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (442800K) : baspoly_drw has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (442800K) : baspoly_pin has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (442800K) : psd_drw has 2 polygons
2026-04-16 14:38:42 +0200: Memory Usage (442992K) : nldb_drw has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (442992K) : digibnd_drw has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (442992K) : via1_drw has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (442992K) : backmetal1_drw has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (443184K) : backmetal1_pin has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (443184K) : backmetal1_mask has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (443184K) : backmetal1_filler has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (443376K) : backmetal1_nofill has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (443376K) : backmetal1_slit has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (443376K) : backmetal1_text has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (443376K) : backmetal1_opc has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (443568K) : backmetal1_noqrc has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (443568K) : backmetal1_res has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (443568K) : backmetal1_iprobe has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (443760K) : backmetal1_diffprb has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (443760K) : backpassiv_drw has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (443760K) : res_drw has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (443760K) : sram_drw has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (443952K) : trans_drw has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (443952K) : ind_drw has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (444144K) : ind_pin has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (444144K) : ind_text has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (444144K) : salblock_drw has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (444144K) : via2_drw has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (444336K) : metal3_drw has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (444336K) : metal3_pin has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (444528K) : metal3_mask has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (444528K) : metal3_filler has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (444528K) : metal3_nofill has 0 polygons
2026-04-16 14:38:42 +0200: Memory Usage (444528K) : metal3_slit has 0 polygons
