# Logfile created on 2026-04-16 14:38:41 +0200 by logger.rb/v1.5.3
2026-04-16 14:38:41 +0200: Memory Usage (439060K) : Starting running IHP-SG13G2 KLayout DRC runset on /var/home/bleroux/Documents/stage_IEMN/analog-asic-design/designs/inverter/layout/inverter.klay.gds
2026-04-16 14:38:41 +0200: Memory Usage (439060K) : Ruby Version for klayout: 3.2.3
2026-04-16 14:38:41 +0200: Memory Usage (440824K) : Loading database to memory is complete.
2026-04-16 14:38:41 +0200: Memory Usage (440824K) : IHP-SG13G2 KLayout DRC runset output at: /var/home/bleroux/Documents/stage_IEMN/analog-asic-design/drc_run_TOP/inverter.klay_TOP_mim.lyrdb
2026-04-16 14:38:41 +0200: Memory Usage (440824K) : Evaluate switches.
2026-04-16 14:38:41 +0200: Memory Usage (440824K) : tables selected: mim
2026-04-16 14:38:41 +0200: Memory Usage (440824K) : KLayout will use 1 thread(s) in tiling mode.
2026-04-16 14:38:41 +0200: Memory Usage (440824K) : deep mode is enabled.
2026-04-16 14:38:41 +0200: Memory Usage (440824K) : FEOL enabled: false
2026-04-16 14:38:41 +0200: Memory Usage (440824K) : BEOL enabled: false
2026-04-16 14:38:41 +0200: Memory Usage (440824K) : OFFGRID enabled: true
2026-04-16 14:38:41 +0200: Memory Usage (440824K) : PIN enabled: false
2026-04-16 14:38:41 +0200: Memory Usage (440824K) : FORBIDDEN enabled: false
2026-04-16 14:38:41 +0200: Memory Usage (440824K) : RECOMMENDED enabled: true
2026-04-16 14:38:41 +0200: Memory Usage (440824K) : PreCheck DRC enabled: false
2026-04-16 14:38:41 +0200: Memory Usage (440824K) : CONNECTIVITY_RULES enabled: false.
2026-04-16 14:38:41 +0200: Memory Usage (440824K) : Read in polygons from layers.
2026-04-16 14:38:41 +0200: Memory Usage (441784K) : activ_drw has 8 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441784K) : activ_pin has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441784K) : activ_mask has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441784K) : activ_filler has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441784K) : activ_nofill has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441784K) : activ_opc has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441784K) : activ_iopc has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441784K) : activ_noqrc has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441784K) : biwind_drw has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441784K) : biwind_opc has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441784K) : pemwind_drw has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441784K) : gatpoly_drw has 5 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441784K) : gatpoly_pin has 1 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441784K) : gatpoly_filler has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441784K) : gatpoly_nofill has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441784K) : gatpoly_opc has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441784K) : gatpoly_iopc has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441784K) : gatpoly_noqrc has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441784K) : cont_drw has 13 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441784K) : cont_opc has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441784K) : nsd_drw has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441784K) : nsd_block has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441976K) : metal1_drw has 13 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441976K) : metal1_pin has 7 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441976K) : metal1_mask has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441976K) : metal1_filler has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441976K) : metal1_nofill has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (441976K) : metal1_slit has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (442360K) : metal1_text has 2 polygons
2026-04-16 14:38:41 +0200: Memory Usage (442360K) : metal1_opc has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (442360K) : metal1_noqrc has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (442360K) : metal1_res has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (442360K) : metal1_iprobe has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (442552K) : metal1_diffprb has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (442552K) : passiv_drw has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (442552K) : passiv_pin has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (442744K) : passiv_sbump has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (442744K) : passiv_pillar has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (442744K) : passiv_pdl has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (442744K) : metal2_drw has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (442936K) : metal2_pin has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (442936K) : metal2_mask has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (442936K) : metal2_filler has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (443128K) : metal2_nofill has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (443128K) : metal2_slit has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (443128K) : metal2_text has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (443128K) : metal2_opc has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (443320K) : metal2_noqrc has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (443320K) : metal2_res has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (443512K) : metal2_iprobe has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (443512K) : metal2_diffprb has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (443512K) : baspoly_drw has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (443512K) : baspoly_pin has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (443704K) : psd_drw has 2 polygons
2026-04-16 14:38:41 +0200: Memory Usage (443704K) : nldb_drw has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (443704K) : digibnd_drw has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (443896K) : via1_drw has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (443896K) : backmetal1_drw has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (443896K) : backmetal1_pin has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (443896K) : backmetal1_mask has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (444088K) : backmetal1_filler has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (444088K) : backmetal1_nofill has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (444088K) : backmetal1_slit has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (444280K) : backmetal1_text has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (444280K) : backmetal1_opc has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (444280K) : backmetal1_noqrc has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (444280K) : backmetal1_res has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (444472K) : backmetal1_iprobe has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (444472K) : backmetal1_diffprb has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (444472K) : backpassiv_drw has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (444664K) : res_drw has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (444664K) : sram_drw has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (444664K) : trans_drw has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (444664K) : ind_drw has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (444856K) : ind_pin has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (444856K) : ind_text has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (445048K) : salblock_drw has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (445048K) : via2_drw has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (445240K) : metal3_drw has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (445240K) : metal3_pin has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (445240K) : metal3_mask has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (445240K) : metal3_filler has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (445432K) : metal3_nofill has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (445432K) : metal3_slit has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (445432K) : metal3_text has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (445624K) : metal3_opc has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (445624K) : metal3_noqrc has 0 polygons
2026-04-16 14:38:41 +0200: Memory Usage (445624K) : metal3_res has 0 polygons
